Organisation,Price,Mission_Status,Country,Year,Cantidad de Viajes
SpaceX,50,Success,USA,2020,14
SpaceX,0,Success,USA,2020,14
SpaceX,50,Success,USA,2020,14
SpaceX,50,Success,USA,2020,14
SpaceX,50,Success,USA,2020,14
SpaceX,50,Success,USA,2020,14
SpaceX,50,Success,USA,2020,14
SpaceX,50,Success,USA,2020,14
SpaceX,50,Success,USA,2020,14
SpaceX,50,Success,USA,2020,14
SpaceX,50,Success,USA,2020,14
SpaceX,50,Success,USA,2020,14
SpaceX,50,Success,USA,2020,14
SpaceX,50,Success,USA,2020,14
CASC,29,Success,China,2020,19
CASC,64,Success,China,2020,19
CASC,0,Success,China,2020,19
CASC,29,Success,China,2020,19
CASC,29,Success,China,2020,19
CASC,64,Success,China,2020,19
CASC,29,Success,China,2020,19
CASC,29,Success,China,2020,19
CASC,30,Success,China,2020,19
CASC,29,Success,China,2020,19
CASC,5,Success,China,2020,19
CASC,0,Success,China,2020,19
CASC,29,Failure,China,2020,19
CASC,30,Success,China,2020,19
CASC,0,Failure,China,2020,19
CASC,29,Success,China,2020,19
CASC,29,Success,China,2020,19
CASC,29,Success,China,2020,19
CASC,29,Success,China,2020,19
Roscosmos,65,Success,Kazakhstan,2020,4
Roscosmos,48,Success,Kazakhstan,2020,4
Roscosmos,48,Success,Kazakhstan,2020,4
Roscosmos,48,Success,Kazakhstan,2020,4
ULA,145,Success,USA,2020,4
ULA,120,Success,USA,2020,4
ULA,153,Success,USA,2020,4
ULA,115,Success,USA,2020,4
JAXA,90,Success,Japan,2020,1
Northrop,46,Success,USA,2020,2
Northrop,85,Success,USA,2020,2
ExPace,28,Failure,China,2020,3
ExPace,0,Success,China,2020,3
ExPace,0,Success,China,2020,3
IAI,0,Success,Israel,2020,1
Rocket Lab,7,Failure,New Zealand,2020,3
Rocket Lab,7,Success,New Zealand,2020,3
Rocket Lab,7,Success,New Zealand,2020,3
Virgin Orbit,12,Failure,USA,2020,1
VKS RF,0,Success,Russia,2020,3
VKS RF,0,Success,Russia,2020,3
VKS RF,48,Success,Russia,2020,3
MHI,112,Success,Japan,2020,2
MHI,90,Success,Japan,2020,2
IRGC,0,Success,Shahrud Missile Test Site,2020,1
Arianespace,48,Success,Kazakhstan,2020,4
Arianespace,200,Success,France,2020,4
Arianespace,48,Success,Kazakhstan,2020,4
Arianespace,200,Success,France,2020,4
ISA,0,Failure,Iran,2020,1
CASC,0,Success,China,2019,27
CASC,64,Success,China,2019,27
CASC,0,Success,China,2019,27
CASC,64,Success,China,2019,27
CASC,0,Success,China,2019,27
CASC,0,Success,China,2019,27
CASC,29,Success,China,2019,27
CASC,64,Success,China,2019,27
CASC,29,Success,China,2019,27
CASC,64,Success,China,2019,27
CASC,29,Success,China,2019,27
CASC,0,Success,China,2019,27
CASC,5,Success,China,2019,27
CASC,64,Success,China,2019,27
CASC,29,Success,China,2019,27
CASC,7,Success,China,2019,27
CASC,30,Success,China,2019,27
CASC,29,Success,China,2019,27
CASC,5,Success,Yellow Sea,2019,27
CASC,64,Failure,China,2019,27
CASC,0,Success,China,2019,27
CASC,64,Success,China,2019,27
CASC,29,Success,China,2019,27
CASC,29,Success,China,2019,27
CASC,29,Success,China,2019,27
CASC,5,Success,China,2019,27
CASC,29,Success,China,2019,27
VKS RF,41,Success,Russia,2019,8
VKS RF,48,Success,Russia,2019,8
VKS RF,0,Success,Russia,2019,8
VKS RF,48,Success,Russia,2019,8
VKS RF,41,Success,Russia,2019,8
VKS RF,48,Success,Russia,2019,8
VKS RF,0,Success,Russia,2019,8
VKS RF,0,Success,Kazakhstan,2019,8
Roscosmos,65,Success,Kazakhstan,2019,13
Roscosmos,48,Success,Kazakhstan,2019,13
Roscosmos,0,Success,Kazakhstan,2019,13
Roscosmos,48,Success,Kazakhstan,2019,13
Roscosmos,65,Success,Kazakhstan,2019,13
Roscosmos,48,Success,Kazakhstan,2019,13
Roscosmos,0,Success,Kazakhstan,2019,13
Roscosmos,65,Success,Kazakhstan,2019,13
Roscosmos,0,Success,Russia,2019,13
Roscosmos,65,Success,Kazakhstan,2019,13
Roscosmos,0,Success,Russia,2019,13
Roscosmos,48,Success,Kazakhstan,2019,13
Roscosmos,0,Success,Kazakhstan,2019,13
ULA,0,Success,USA,2019,5
ULA,164,Success,USA,2019,5
ULA,153,Success,USA,2019,5
ULA,0,Success,USA,2019,5
ULA,350,Success,USA,2019,5
Arianespace,0,Success,France,2019,9
Arianespace,200,Success,France,2019,9
Arianespace,200,Success,France,2019,9
Arianespace,37,Failure,France,2019,9
Arianespace,200,Success,France,2019,9
Arianespace,0,Success,France,2019,9
Arianespace,37,Success,France,2019,9
Arianespace,0,Success,France,2019,9
Arianespace,200,Success,France,2019,9
SpaceX,50,Success,USA,2019,13
SpaceX,50,Success,USA,2019,13
SpaceX,50,Success,USA,2019,13
SpaceX,50,Success,USA,2019,13
SpaceX,50,Success,USA,2019,13
SpaceX,90,Success,USA,2019,13
SpaceX,50,Success,USA,2019,13
SpaceX,50,Success,USA,2019,13
SpaceX,50,Success,USA,2019,13
SpaceX,90,Success,USA,2019,13
SpaceX,50,Success,USA,2019,13
SpaceX,50,Success,USA,2019,13
SpaceX,50,Success,USA,2019,13
Blue Origin,0,Success,USA,2019,3
Blue Origin,0,Success,USA,2019,3
Blue Origin,0,Success,USA,2019,3
ISRO,21,Success,India,2019,6
ISRO,31,Success,India,2019,6
ISRO,62,Success,India,2019,6
ISRO,21,Success,India,2019,6
ISRO,21,Success,India,2019,6
ISRO,0,Success,India,2019,6
ExPace,0,Success,China,2019,5
ExPace,0,Success,China,2019,5
ExPace,0,Success,China,2019,5
ExPace,0,Success,China,2019,5
ExPace,0,Success,China,2019,5
Rocket Lab,7,Success,New Zealand,2019,6
Rocket Lab,7,Success,New Zealand,2019,6
Rocket Lab,7,Success,New Zealand,2019,6
Rocket Lab,7,Success,New Zealand,2019,6
Rocket Lab,7,Success,New Zealand,2019,6
Rocket Lab,7,Success,New Zealand,2019,6
Northrop,85,Success,USA,2019,3
Northrop,40,Success,USA,2019,3
Northrop,85,Success,USA,2019,3
Exos,0,Failure,New Mexico,2019,3
Exos,0,Partial Failure,New Mexico,2019,3
Exos,0,Partial Failure,New Mexico,2019,3
ILS,65,Success,Kazakhstan,2019,1
MHI,112,Success,Japan,2019,1
ISA,0,Prelaunch Failure,Iran,2019,3
ISA,0,Failure,Iran,2019,3
ISA,0,Failure,Iran,2019,3
i-Space,0,Success,China,2019,1
OneSpace,0,Failure,China,2019,1
JAXA,39,Success,Japan,2019,1
CASC,0,Success,China,2018,37
CASC,0,Success,China,2018,37
CASC,5,Success,China,2018,37
CASC,29,Success,China,2018,37
CASC,29,Success,China,2018,37
CASC,29,Success,China,2018,37
CASC,0,Success,China,2018,37
CASC,29,Success,China,2018,37
CASC,30,Success,China,2018,37
CASC,64,Success,China,2018,37
CASC,0,Success,China,2018,37
CASC,30,Success,China,2018,37
CASC,0,Success,China,2018,37
CASC,30,Success,China,2018,37
CASC,0,Success,China,2018,37
CASC,64,Success,China,2018,37
CASC,0,Success,China,2018,37
CASC,69,Success,China,2018,37
CASC,30,Success,China,2018,37
CASC,30,Success,China,2018,37
CASC,69,Success,China,2018,37
CASC,29,Success,China,2018,37
CASC,64,Success,China,2018,37
CASC,64,Success,China,2018,37
CASC,29,Success,China,2018,37
CASC,5,Success,China,2018,37
CASC,64,Success,China,2018,37
CASC,64,Success,China,2018,37
CASC,0,Success,China,2018,37
CASC,29,Success,China,2018,37
CASC,0,Success,China,2018,37
CASC,29,Success,China,2018,37
CASC,30,Success,China,2018,37
CASC,5,Success,China,2018,37
CASC,29,Success,China,2018,37
CASC,0,Success,China,2018,37
CASC,29,Success,China,2018,37
Roscosmos,48,Success,Russia,2018,11
Roscosmos,0,Success,Kazakhstan,2018,11
Roscosmos,0,Success,Kazakhstan,2018,11
Roscosmos,35,Success,Russia,2018,11
Roscosmos,0,Failure,Kazakhstan,2018,11
Roscosmos,48,Success,Kazakhstan,2018,11
Roscosmos,0,Success,Kazakhstan,2018,11
Roscosmos,0,Success,Russia,2018,11
Roscosmos,0,Success,Kazakhstan,2018,11
Roscosmos,48,Success,Kazakhstan,2018,11
Roscosmos,48,Success,Russia,2018,11
