Comentario,Sentimiento VADER
"Me encantó este libro, fue inspirador y emocionante de principio a fin.",Positivo
"No pude dejar de leerlo, cada página era más intrigante que la anterior.",Positivo
"El desarrollo de los personajes fue impresionante, realmente sentí que los conocía.",Positivo
La trama era predecible y el final fue decepcionante.,Negativo
"No conecté con los personajes, me resultaron poco realistas.",Neutral
"Este libro me dejó pensando durante días, realmente me hizo reflexionar sobre la vida.",Neutral
"La escritura era hermosa y poética, cada palabra estaba cuidadosamente elegida.",Positivo
"No recomendaría este libro a nadie, no vale la pena el tiempo de lectura.",Negativo
"No puedo esperar para leer más del autor, definitivamente me ha ganado como fan.",Positivo
"La historia me atrapó desde la primera página, no podía ponerlo en espera.",Neutral
"No puedo entender por qué este libro recibió tantas críticas positivas, no lo encontré interesante en absoluto.",Positivo
"Me sentí completamente absorbido por la narrativa, fue como si estuviera viviendo la historia.",Neutral
"La prosa era confusa y difícil de seguir, tuve que volver a leer varias veces para entender lo que estaba pasando.",Negativo
"Fue una lectura ligera y entretenida, perfecta para relajarse en un día lluvioso.",Positivo
"La trama era original y refrescante, no había leído nada parecido antes.",Positivo
"Los diálogos eran realistas y convincentes, realmente sentí que estaba escuchando a personas reales hablar.",Positivo
"Este libro superó mis expectativas, definitivamente lo recomendaría a cualquiera que esté buscando una buena lectura.",Positivo
"No puedo expresar lo mucho que disfruté este libro, me hizo reír y llorar en igual medida.",Positivo
"Fue una montaña rusa emocional, nunca sabía qué esperar a continuación.",Positivo
"Los personajes secundarios eran tan interesantes como los protagonistas, cada uno tenía su propia historia convincente.",Positivo
